Player,,Loan: start/end,Age,Nationality,Position,Market value,From Team,From League,From Region,From Country,From Level,To Team,To League,To Region,To Country,To Level,End of Loan Date,Fee,Transfer ID
Arnau Solà,In,End,20,Spain,Left-Back,"250,000",Real Murcia,"Primera Federación - Grupo II, Spain",Europe,Spain,Third Tier,UD Almería,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,293
Arnau Solà,Out,Start,20,Spain,Left-Back,"250,000",UD Almería,"LaLiga, Spain",Top,Spain,First Tier,FC Cartagena,"LaLiga2, Spain",Europe,Spain,Second Tier,,0,294
Arnau Tenas,In,No,22,Spain,Goalkeeper,"5,000,000",Barça Atlètic,"Primera Federación - Grupo I, Spain",Europe,Spain,Third Tier,Paris SG,"Ligue 1, France",Top,France,First Tier,,0,295
Arnaut Danjuma,Inside,Start,26,Netherlands,Left Winger,"20,000,000",Villarreal,"LaLiga, Spain",Top,Spain,First Tier,Everton,"Premier League, England",Top,England,First Tier,,3000000,297
Arnaut Danjuma,Inside,End,26,Netherlands,Left Winger,"20,000,000",Tottenham,"Premier League, England",Top,England,First Tier,Villarreal,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,296
Aron Dønnum,In,No,25,Norway,Left Midfield,"3,000,000",Standard Liège,"Jupiler Pro League, Belgium",Europe,Belgium,First Tier,Toulouse,"Ligue 1, France",Top,France,First Tier,,4500000,298
Arsen Zakharyan,In,No,20,Russia,Attacking Midfield,"15,000,000",Dynamo Moscow,"Premier Liga, Russia",Europe,Russia,First Tier,Real Sociedad,"LaLiga, Spain",Top,Spain,First Tier,,13000000,299
Artem Dovbyk,In,No,26,Ukraine,Centre-Forward,"15,000,000",SK Dnipro-1,"Premier Liga, Ukraine",Europe,Ukraine,First Tier,Girona,"LaLiga, Spain",Top,Spain,First Tier,,7750000,300
Arthur,In,No,20,Brazil,Right-Back,"5,000,000",América-MG,Campeonato Brasileiro Série A,Latin America,Brazil,First Tier,B. Leverkusen,"Bundesliga, German",Top,Germany,First Tier,,7000000,301
Arthur Cabral,Out,No,25,Brazil,Centre-Forward,"20,000,000",Fiorentina,"Serie A, Italy",Top,Italy,First Tier,Benfica,Liga Portugal,Europe,Portugal,First Tier,,20000000,302
Arthur Masuaku,In,End,29,DR Congo,Left-Back,"6,000,000",Besiktas,"Süper Lig, Turkey",Asia,Turkey,First Tier,West Ham,"Premier League, England",Top,England,First Tier,"Jun 30, 2023",0,303
Arthur Masuaku,Out,No,29,DR Congo,Left-Back,"6,000,000",West Ham,"Premier League, England",Top,England,First Tier,Besiktas,"Süper Lig, Turkey",Asia,Turkey,First Tier,,2000000,304
Arthur Melo,Inside,Start,26,Brazil,Central Midfield,"15,000,000",Juventus,"Serie A, Italy",Top,Italy,First Tier,Fiorentina,"Serie A, Italy",Top,Italy,First Tier,,2000000,306
