Player,,Loan: start/end,Age,Nationality,Position,Market value,From Team,From League,From Region,From Country,From Level,To Team,To League,To Region,To Country,To Level,End of Loan Date,Fee,Transfer ID
Kenny Nagera,Out,No,21,France,Centre-Forward,"300,000",Paris SG,"Ligue 1, France",Top,France,First Tier,Without Club,No league,-,-,No tier,,0,1381
Kepa Arrizabalaga,Inside,Start,28,Spain,Goalkeeper,"18,000,000",Chelsea,"Premier League, England",Top,England,First Tier,Real Madrid,"LaLiga, Spain",Top,Spain,First Tier,,1000000,1382
Kerem Demirbay,Out,No,30,Germany,Central Midfield,"6,000,000",B. Leverkusen,"Bundesliga, German",Top,Germany,First Tier,Galatasaray,"Süper Lig, Turkey",Asia,Turkey,First Tier,,3700000,1383
Keven Schlotterbeck,Inside,End,26,Germany,Centre-Back,"3,000,000",VfL Bochum,"Bundesliga, German",Top,Germany,First Tier,SC Freiburg,"Bundesliga, German",Top,Germany,First Tier,"Jun 30, 2023",0,1384
Keven Schlotterbeck,Inside,Start,26,Germany,Centre-Back,"3,000,000",SC Freiburg,"Bundesliga, German",Top,Germany,First Tier,VfL Bochum,"Bundesliga, German",Top,Germany,First Tier,,0,1385
Kevin Haveri,In,No,21,Albania,Left-Back,"300,000",Rimini,"Serie C - Girone B, Italy",Europe,Italy,Third Tier,Torino,"Serie A, Italy",Top,Italy,First Tier,,300000,1386
Kevin Haveri,Out,Start,21,Albania,Left-Back,"300,000",Torino,"Serie A, Italy",Top,Italy,First Tier,Ascoli,"Serie B, Italy",Europe,Italy,Second Tier,,0,1387
Kevin Lasagna,Out,Start,31,Italy,Centre-Forward,"1,600,000",Hellas Verona,"Serie A, Italy",Top,Italy,First Tier,Karagümrük,"Süper Lig, Turkey",Asia,Turkey,First Tier,,0,1388
Kevin Mbabu,In,End,28,Switzerland,Right-Back,"3,500,000",Servette FC,"Super League, Swiss",Europe,Switzerland,First Tier,Fulham,"Premier League, England",Top,England,First Tier,"Jun 30, 2023",0,1389
Kevin Mbabu,Inside,Start,28,Switzerland,Right-Back,"3,500,000",Fulham,"Premier League, England",Top,England,First Tier,FC Augsburg,"Bundesliga, German",Top,Germany,First Tier,,0,1390
Kevin Miranda,In,No,20,Italy,Centre-Back,"125,000",Sassuolo U19,"Primavera 1, Italy",Europe,Italy,Youth League,Sassuolo,"Serie A, Italy",Top,Italy,First Tier,,0,1392
Kevin Miranda,Out,Start,20,Italy,Centre-Back,"125,000",Sassuolo,"Serie A, Italy",Top,Italy,First Tier,Catanzaro,"Serie B, Italy",Europe,Italy,Second Tier,,0,1391
Kevin Möhwald,Out,No,29,Germany,Central Midfield,"600,000",Union Berlin,"Bundesliga, German",Top,Germany,First Tier,KAS Eupen,"Jupiler Pro League, Belgium",Europe,Belgium,First Tier,,0,1393
Kevin Rüegg,Out,Start,25,Switzerland,Right-Back,"800,000",Hellas Verona,"Serie A, Italy",Top,Italy,First Tier,FC Basel,"Super League, Swiss",Europe,Switzerland,First Tier,,0,1394
Kevin Schade,Inside,No,21,Germany,Right Winger,"25,000,000",SC Freiburg,"Bundesliga, German",Top,Germany,First Tier,Brentford,"Premier League, England",Top,England,First Tier,,25000000,1396
Kevin Schade,Inside,End,21,Germany,Right Winger,"25,000,000",Brentford,"Premier League, England",Top,England,First Tier,SC Freiburg,"Bundesliga, German",Top,Germany,First Tier,"Jun 30, 2023",0,1395
Kevin Strootman,Inside,No,33,Netherlands,Central Midfield,"1,300,000",Marseille,"Ligue 1, France",Top,France,First Tier,Genoa,"Serie A, Italy",Top,Italy,First Tier,,0,1398
Kevin Strootman,Inside,End,33,Netherlands,Central Midfield,"1,300,000",Genoa,"Serie A, Italy",Top,Italy,First Tier,Marseille,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,1397
Kevin Van Den Kerkhof,In,No,27,Algeria,Right-Back,"2,000,000",SC Bastia,"Ligue 2, France",Europe,France,Second Tier,FC Metz,"Ligue 1, France",Top,France,First Tier,,2500000,1399
Kevin Volland,Inside,No,31,Germany,Centre-Forward,"8,000,000",Monaco,"Ligue 1, France",Top,France,First Tier,Union Berlin,"Bundesliga, German",Top,Germany,First Tier,,4000000,1400
Keylor Navas,Inside,End,36,Costa Rica,Goalkeeper,"4,000,000",Nottm Forest,"Premier League, England",Top,England,First Tier,Paris SG,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,1401
Khadim Ndiaye,Out,No,23,Senegal,Goalkeeper,0,Atalanta BC,"Serie A, Italy",Top,Italy,First Tier,Without Club,No league,-,-,No tier,,0,1402
Ki-Jana Hoever,In,End,22,Netherlands,Right-Back,"3,500,000",Stoke City,"Championship, England",Europe,France,Second Tier,Wolves,"Premier League, England",Top,England,First Tier,"May 31, 2024",0,1403
Ki-Jana Hoever,Out,Start,21,Netherlands,Right-Back,"3,500,000",Wolves,"Premier League, England",Top,England,First Tier,Stoke City,"Championship, England",Europe,England,Second Tier,,0,1404
Kieran Tierney,Inside,Start,26,Scotland,Left-Back,"25,000,000",Arsenal,"Premier League, England",Top,England,First Tier,Real Sociedad,"LaLiga, Spain",Top,Spain,First Tier,,1400000,1405
Kike García,Inside,No,33,Spain,Centre-Forward,"1,800,000",CA Osasuna,"LaLiga, Spain",Top,Spain,First Tier,Alavés,"LaLiga, Spain",Top,Spain,First Tier,,0,1406
Kike Pérez,In,Start,26,Spain,Central Midfield,"4,500,000",Real Valladolid,"LaLiga2, Spain",Europe,Spain,Second Tier,Rayo Vallecano,"LaLiga, Spain",Top,Spain,First Tier,,0,1407
Kike Salas,In,End,21,Spain,Centre-Back,"1,000,000",CD Tenerife,"LaLiga2, Spain",Europe,Spain,Second Tier,Sevilla FC,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,1408
Kiko Casilla,Out,No,36,Spain,Goalkeeper,"300,000",Getafe,"LaLiga, Spain",Top,Spain,First Tier,Without Club,No league,-,-,No tier,,0,1409
Kimberly Ezekwem,Out,Start,22,Germany,Left-Back,"350,000",SC Freiburg,"Bundesliga, German",Top,Germany,First Tier,SC Paderborn,"2. Bundesliga, German",Europe,Germany,Second Tier,,0,1410
Kingsley Michael,Out,No,24,Nigeria,Central Midfield,"250,000",Bologna,"Serie A, Italy",Top,Italy,First Tier,DSV Leoben,"2. Liga, Austria",Europe,Austria,Second Tier,,0,1411
Kingsley Schindler,Out,No,30,Ghana,Right-Back,"950,000",1.FC Köln,"Bundesliga, German",Top,Germany,First Tier,Samsunspor,"Süper Lig, Turkey",Asia,Turkey,First Tier,,0,1412
Kjell Scherpen,In,End,23,Netherlands,Goalkeeper,"2,000,000",Vitesse,"Eredivisie, Netherlands",Europe,Netherlands,First Tier,Brighton,"Premier League, England",Top,England,First Tier,"Jun 30, 2023",0,1413
Kjell Scherpen,Out,Start,23,Netherlands,Goalkeeper,"2,000,000",Brighton,"Premier League, England",Top,England,First Tier,Sturm Graz,"Bundesliga, Austria",Europe,Austria,First Tier,,0,1414
Kjetil Haug,In,End,25,Norway,Goalkeeper,"400,000",Sarpsborg 08,"Eliteserien, Norway",Europe,Norway,First Tier,Toulouse,"Ligue 1, France",Top,France,First Tier,"Dec 31, 2023",0,1415
Kjetil Haug,Out,Start,25,Norway,Goalkeeper,"400,000",Toulouse,"Ligue 1, France",Top,France,First Tier,Sarpsborg 08,"Eliteserien, Norway",Europe,Norway,First Tier,,0,1416
Kléri Serber,In,End,24,France,Central Midfield,"350,000",Botev Vratsa,"efbet Liga, Bulgaria",Europe,Bulgaria,First Tier,Toulouse,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,1417
Koba Koindredi,In,End,21,Neukaledonien,Central Midfield,"1,000,000",Real Oviedo,"LaLiga2, Spain",Europe,Spain,Second Tier,Valencia,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,1418
Koba Koindredi,Out,Start,21,Neukaledonien,Central Midfield,"1,000,000",Valencia,"LaLiga, Spain",Top,Spain,First Tier,Estoril Praia,Liga Portugal,Europe,Portugal,First Tier,,0,1419
Koni De Winter,Inside,Start,21,Belgium,Centre-Back,"4,000,000",Juventus,"Serie A, Italy",Top,Italy,First Tier,Genoa,"Serie A, Italy",Top,Italy,First Tier,,0,1421
Koni De Winter,Inside,End,21,Belgium,Centre-Back,"4,000,000",FC Empoli,"Serie A, Italy",Top,Italy,First Tier,Juventus,"Serie A, Italy",Top,Italy,First Tier,"Jun 30, 2023",0,1420
Konrad de la Fuente,In,End,21,United States,Left Winger,"2,500,000",Olympiacos,"Super League 1, Greece",Europe,Greece,First Tier,Marseille,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,1422
Konrad de la Fuente,Out,Start,22,United States,Left Winger,"2,500,000",Marseille,"Ligue 1, France",Top,France,First Tier,SD Eibar,"LaLiga2, Spain",Europe,Spain,Second Tier,,0,1423
Konrad Laimer,Inside,No,26,Austria,Central Midfield,"28,000,000",RB Leipzig,"Bundesliga, German",Top,Germany,First Tier,Bayern Munich,"Bundesliga, German",Top,Germany,First Tier,,0,1424
Konstantinos Mavropanos,Inside,No,25,Greece,Centre-Back,"15,000,000",VfB Stuttgart,"Bundesliga, German",Top,Germany,First Tier,West Ham,"Premier League, England",Top,England,First Tier,,20000000,1425
Konstantinos Stafylidis,Out,No,29,Greece,Left-Back,"1,200,000",VfL Bochum,"Bundesliga, German",Top,Germany,First Tier,Without Club,No league,-,-,No tier,,0,1426
Kristian Pedersen,Out,No,29,Denmark,Left-Back,"1,200,000",1.FC Köln,"Bundesliga, German",Top,Germany,First Tier,Swansea,"Championship, England",Europe,England,Second Tier,,0,1427
Kristjan Asllani,Inside,No,21,Albania,Defensive Midfield,"12,000,000",FC Empoli,"Serie A, Italy",Top,Italy,First Tier,Inter,"Serie A, Italy",Top,Italy,First Tier,,10000000,1429
Kristjan Asllani,Inside,End,21,Albania,Defensive Midfield,"12,000,000",Inter,"Serie A, Italy",Top,Italy,First Tier,FC Empoli,"Serie A, Italy",Top,Italy,First Tier,"Jun 30, 2023",0,1428
Kristoffer Askildsen,Out,End,22,Norway,Central Midfield,"1,400,000",Lecce,"Serie A, Italy",Top,Italy,First Tier,Sampdoria,"Serie B, Italy",Europe,Italy,Second Tier,"Jun 30, 2023",0,1430
Krisztofer Horváth,Out,Start,21,Hungary,Attacking Midfield,"600,000",Torino,"Serie A, Italy",Top,Italy,First Tier,Kecskemét,"Nemzeti Bajnokság, Hungary",Europe,Hungary,First Tier,,0,1431
Krzysztof Piatek,Out,End,27,Poland,Centre-Forward,"5,500,000",Salernitana,"Serie A, Italy",Top,Italy,First Tier,Hertha BSC,"2. Bundesliga, German",Europe,Germany,Second Tier,"Jun 30, 2023",0,1432
Kyron Gordon,Out,No,21,England,Centre-Back,"250,000",Sheff Utd,"Premier League, England",Top,England,First Tier,Without Club,No league,-,-,No tier,,0,1433
Kyu-hyun Park,In,End,22,"Korea, South",Left-Back,"250,000",Dynamo Dresden,"3. Liga, German",Europe,Germany,Third Tier,Werder Bremen,"Bundesliga, German",Top,Germany,First Tier,"Jun 30, 2023",0,1434
Kyu-hyun Park,Out,No,22,"Korea, South",Left-Back,"250,000",Werder Bremen,"Bundesliga, German",Top,Germany,First Tier,Dynamo Dresden,"3. Liga, German",Europe,Germany,Third Tier,,150000,1435
Lamine Camara,In,No,19,Senegal,Central Midfield,"200,000",FC Metz B,"Championnat National 3 - Groupe I, France",Europe,France,Fifth Tier,FC Metz,"Ligue 1, France",Top,France,First Tier,,0,1436
Lamine Diack,In,Start,22,Senegal,Defensive Midfield,"1,700,000",Ankaragücü,"Süper Lig, Turkey",Asia,Turkey,First Tier,FC Nantes,"Ligue 1, France",Top,France,First Tier,,400000,1437
Lamine Gueye,Out,No,25,Senegal,Right Winger,"1,000,000",FC Metz,"Ligue 1, France",Top,France,First Tier,Paris FC,"Ligue 2, France",Europe,France,Second Tier,,?,1438
Lamine Yamal,In,No,15,Spain,Right Winger,"25,000,000",Barça U19,No league,Europe,Spain,No tier,Barcelona,"LaLiga, Spain",Top,Spain,First Tier,,0,1439
Lapo Nava,In,No,19,Italy,Goalkeeper,"150,000",Milan U19,"Primavera 1, Italy",Europe,Italy,Youth League,AC Milan,"Serie A, Italy",Top,Italy,First Tier,,0,1440
Lars Stindl,Out,No,34,Germany,Attacking Midfield,"1,000,000",Bor. M'gladbach,"Bundesliga, German",Top,Germany,First Tier,Karlsruher SC,"2. Bundesliga, German",Europe,Germany,Second Tier,,0,1441
Lasse Günther,In,End,20,Germany,Left-Back,"800,000",Jahn Regensburg,"3. Liga, German",Europe,Germany,Third Tier,FC Augsburg,"Bundesliga, German",Top,Germany,First Tier,"Jun 30, 2023",0,1442
Lasse Günther,Out,Start,20,Germany,Left-Back,"800,000",FC Augsburg,"Bundesliga, German",Top,Germany,First Tier,Wehen Wiesbaden,"2. Bundesliga, German",Europe,Germany,Second Tier,,0,1443
Laurenz Dehl,In,End,21,Germany,Right Midfield,"200,000",Viktoria Berlin,"Regionalliga Northeast, German",Europe,Germany,Fourth Tier,Union Berlin,"Bundesliga, German",Top,Germany,First Tier,"Jun 30, 2023",0,1444
Lautaro de León,In,No,22,Uruguay,Centre-Forward,"300,000",Celta Fortuna,"Primera Federación - Grupo I, Spain",Europe,Spain,Third Tier,Celta de Vigo,"LaLiga, Spain",Top,Spain,First Tier,,0,1446
Lautaro de León,Out,Start,22,Uruguay,Centre-Forward,"300,000",Celta de Vigo,"LaLiga, Spain",Top,Spain,First Tier,FC Cartagena,"LaLiga2, Spain",Europe,Spain,Second Tier,,0,1445
Lawrence Vigouroux,In,No,29,Chile,Goalkeeper,"300,000",Leyton Orient,"League One, England",Europe,England,Third Tier,Burnley,"Premier League, England",Top,England,First Tier,,0,1447
Layvin Kurzawa,Inside,End,30,France,Left-Back,"3,000,000",Fulham,"Premier League, England",Top,England,First Tier,Paris SG,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,1448
Leandro Paredes,Inside,No,29,Argentina,Defensive Midfield,"9,000,000",Paris SG,"Ligue 1, France",Top,France,First Tier,AS Roma,"Serie A, Italy",Top,Italy,First Tier,,2500000,1450
Leandro Paredes,Inside,End,29,Argentina,Defensive Midfield,"9,000,000",Juventus,"Serie A, Italy",Top,Italy,First Tier,Paris SG,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,1449
Leart Paqarada,In,No,28,Kosovo,Left-Back,"2,000,000",FC St. Pauli,"2. Bundesliga, German",Europe,Germany,Second Tier,1.FC Köln,"Bundesliga, German",Top,Germany,First Tier,,0,1451
Lee Buchanan,Out,No,22,England,Left-Back,"3,500,000",Werder Bremen,"Bundesliga, German",Top,Germany,First Tier,Birmingham,"Championship, England",Europe,England,Second Tier,,1500000,1452
Lennart Czyborra,Out,Start,24,Germany,Left-Back,"1,400,000",Genoa,"Serie A, Italy",Top,Italy,First Tier,PEC Zwolle,"Eredivisie, Netherlands",Europe,Netherlands,First Tier,,0,1453
Lennart Grill,Inside,End,24,Germany,Goalkeeper,"1,000,000",Union Berlin,"Bundesliga, German",Top,Germany,First Tier,B. Leverkusen,"Bundesliga, German",Top,Germany,First Tier,"Jun 30, 2023",0,1454
Lennart Grill,Inside,No,24,Germany,Goalkeeper,"1,000,000",B. Leverkusen,"Bundesliga, German",Top,Germany,First Tier,Union Berlin,"Bundesliga, German",Top,Germany,First Tier,,?,1455
Lennart Grill,Out,Start,24,Germany,Goalkeeper,"1,000,000",Union Berlin,"Bundesliga, German",Top,Germany,First Tier,VfL Osnabrück,"2. Bundesliga, German",Europe,Germany,Second Tier,,0,1456
Lenny Joseph,Out,No,22,France,Right Winger,"400,000",FC Metz,"Ligue 1, France",Top,France,First Tier,Grenoble,"Ligue 2, France",Europe,France,Second Tier,,?,1457
Leo Román,Out,Start,22,Spain,Goalkeeper,"300,000",RCD Mallorca,"LaLiga, Spain",Top,Spain,First Tier,Real Oviedo,"LaLiga2, Spain",Europe,Spain,Second Tier,,0,1458
Leo Stulac,Out,No,28,Slovenia,Defensive Midfield,"1,000,000",FC Empoli,"Serie A, Italy",Top,Italy,First Tier,Palermo,"Serie B, Italy",Europe,Italy,Second Tier,,1000000,1459
Leon Opitz,In,No,18,Germany,Left Midfield,"300,000",W. Bremen U19,"A-Junioren Bundesliga North/Northeast, German",Europe,Germany,Youth League,Werder Bremen,"Bundesliga, German",Top,Germany,First Tier,,0,1460
Leonardo Bonucci,Inside,No,36,Italy,Centre-Back,"1,500,000",Juventus,"Serie A, Italy",Top,Italy,First Tier,Union Berlin,"Bundesliga, German",Top,Germany,First Tier,,0,1461
Leonardo Buta,Out,Start,21,Portugal,Left-Back,"1,500,000",Udinese Calcio,"Serie A, Italy",Top,Italy,First Tier,Gil Vicente,Liga Portugal,Europe,Portugal,First Tier,,0,1462
Leonardo Candellone,Out,No,25,Italy,Centre-Forward,"350,000",SSC Napoli,"Serie A, Italy",Top,Italy,First Tier,Juve Stabia,"Serie C - Girone C, Italy",Europe,Italy,Third Tier,,?,1463
Leonardo Loria,Out,End,24,Italy,Goalkeeper,"275,000",Frosinone,"Serie A, Italy",Top,Italy,First Tier,Pisa,"Serie B, Italy",Europe,Italy,Second Tier,"Jun 30, 2023",0,1464
Leonardo Mancuso,Out,Start,31,Italy,Centre-Forward,"1,600,000",Monza,"Serie A, Italy",Top,Italy,First Tier,Palermo,"Serie B, Italy",Europe,Italy,Second Tier,,0,1465
Leonardo Pezzola,Out,No,21,Italy,Centre-Back,"25,000",FC Empoli,"Serie A, Italy",Top,Italy,First Tier,Sambenedettese,"Serie D - Girone F, Italy",Europe,Italy,Fourth Tier,,0,1466
Leonidas Stergiou,In,Start,21,Switzerland,Centre-Back,"3,000,000",FC St. Gallen,"Super League, Swiss",Europe,Switzerland,First Tier,VfB Stuttgart,"Bundesliga, German",Top,Germany,First Tier,,0,1467
Leopold Zingerle,In,No,29,Germany,Goalkeeper,"400,000",SC Paderborn,"2. Bundesliga, German",Europe,Germany,Second Tier,RB Leipzig,"Bundesliga, German",Top,Germany,First Tier,,0,1468
Lesley Ugochukwu,Inside,No,19,France,Defensive Midfield,"25,000,000",Stade Rennais,"Ligue 1, France",Top,France,First Tier,Chelsea,"Premier League, England",Top,England,First Tier,,27000000,1469
Levi Colwill,In,No,20,England,Centre-Back,"42,000,000",Chelsea U21,"Premier League 2, England",Europe,England,Reserve League,Chelsea,"Premier League, England",Top,England,First Tier,,0,1470
Levin Öztunali,Out,No,27,Germany,Left Winger,"1,200,000",Union Berlin,"Bundesliga, German",Top,Germany,First Tier,Hamburger SV,"2. Bundesliga, German",Europe,Germany,Second Tier,,0,1471
Lewis Dobbin,In,No,20,England,Left Winger,"900,000",Everton U21,"Premier League 2, England",Europe,England,Reserve League,Everton,"Premier League, England",Top,England,First Tier,,0,1472
Lewis Hall,In,No,18,England,Left-Back,"18,000,000",Chelsea U21,"Premier League 2, England",Europe,England,Reserve League,Chelsea,"Premier League, England",Top,England,First Tier,,0,1475
Lewis Hall,Inside,End,19,England,Left-Back,"18,000,000",Newcastle,"Premier League, England",Top,England,First Tier,Chelsea,"Premier League, England",Top,England,First Tier,"May 31, 2024",0,1473
Lewis Hall,Inside,Start,18,England,Left-Back,"18,000,000",Chelsea,"Premier League, England",Top,England,First Tier,Newcastle,"Premier League, England",Top,England,First Tier,,0,1474
Lewis O'Brien,In,End,25,England,Central Midfield,"8,000,000",Middlesbrough,"Championship, England",Europe,France,Second Tier,Nottm Forest,"Premier League, England",Top,England,First Tier,"May 31, 2024",0,1477
Lewis O'Brien,In,End,24,England,Central Midfield,"8,000,000",D.C. United,"Major League Soccer, US",US & Australia,US,First Tier,Nottm Forest,"Premier League, England",Top,England,First Tier,"Jul 16, 2023",0,1476
Lewis O'Brien,Out,Start,24,England,Central Midfield,"8,000,000",Nottm Forest,"Premier League, England",Top,England,First Tier,Middlesbrough,"Championship, England",Europe,England,Second Tier,,0,1478
Liam Henderson,Out,Start,27,Scotland,Central Midfield,"2,000,000",FC Empoli,"Serie A, Italy",Top,Italy,First Tier,Palermo,"Serie B, Italy",Europe,Italy,Second Tier,,0,1479
Lino Tempelmann,In,End,24,Germany,Central Midfield,"2,000,000",1.FC Nuremberg,"2. Bundesliga, German",Europe,Germany,Second Tier,SC Freiburg,"Bundesliga, German",Top,Germany,First Tier,"Jun 30, 2023",0,1480
Lino Tempelmann,Out,No,24,Germany,Central Midfield,"2,000,000",SC Freiburg,"Bundesliga, German",Top,Germany,First Tier,FC Schalke 04,"2. Bundesliga, German",Europe,Germany,Second Tier,,700000,1481
Lionel Messi,Out,No,36,Argentina,Right Winger,"35,000,000",Paris SG,"Ligue 1, France",Top,France,First Tier,Miami,"Major League Soccer, US",US & Australia,US,First Tier,,0,1482
Lohann Doucet,Out,Start,20,France,Defensive Midfield,"700,000",FC Nantes,"Ligue 1, France",Top,France,First Tier,Paris FC,"Ligue 2, France",Europe,France,Second Tier,,0,1483
Loïc Badé,Inside,End,23,France,Centre-Back,"12,000,000",Sevilla FC,"LaLiga, Spain",Top,Spain,First Tier,Stade Rennais,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,1484
Loïc Badé,Inside,No,23,France,Centre-Back,"12,000,000",Stade Rennais,"Ligue 1, France",Top,France,First Tier,Sevilla FC,"LaLiga, Spain",Top,Spain,First Tier,,12000000,1485
Loïc Mbe Soh,In,End,22,France,Centre-Back,"2,000,000",Guingamp,"Ligue 2, France",Europe,France,Second Tier,Nottm Forest,"Premier League, England",Top,England,First Tier,"Jun 30, 2023",0,1486
Loïc Mbe Soh,Out,Start,22,France,Centre-Back,"2,000,000",Nottm Forest,"Premier League, England",Top,England,First Tier,Almere City,"Eredivisie, Netherlands",Europe,Netherlands,First Tier,,0,1487
Loïc Nego,In,No,32,Hungary,Right-Back,"1,000,000",Fehérvár,"Nemzeti Bajnokság, Hungary",Europe,Hungary,First Tier,Le Havre AC,"Ligue 1, France",Top,France,First Tier,,0,1488
Loïc Rémy,Out,No,36,France,Centre-Forward,0,Stade Brestois,"Ligue 1, France",Top,France,First Tier,Without Club,No league,-,-,No tier,,0,1489
Loïs Openda,Inside,No,23,Belgium,Centre-Forward,"35,000,000",Lens,"Ligue 1, France",Top,France,First Tier,RB Leipzig,"Bundesliga, German",Top,Germany,First Tier,,38500000,1490
Loren Morón,Inside,End,29,Spain,Centre-Forward,"2,000,000",UD Las Palmas,"LaLiga, Spain",Top,Spain,First Tier,Real Betis,"LaLiga, Spain",Top,Spain,First Tier,"Jun 30, 2023",0,1491
Loren Morón,Out,No,29,Spain,Centre-Forward,"2,000,000",Real Betis,"LaLiga, Spain",Top,Spain,First Tier,Aris Saloniki,"Super League 1, Greece",Europe,Greece,First Tier,,0,1492
Lorenzo Amatucci,In,No,19,Italy,Defensive Midfield,"1,000,000",Fiorentina U19,"Primavera 1, Italy",Europe,Italy,Youth League,Fiorentina,"Serie A, Italy",Top,Italy,First Tier,,0,1493
Lorenzo Avogadri,Out,No,21,Italy,Goalkeeper,"10,000",Atalanta BC,"Serie A, Italy",Top,Italy,First Tier,Atalanta U23,"Serie C - Girone A, Italy",Europe,Italy,Third Tier,,0,1494
Lorenzo Colombo,Inside,End,21,Italy,Centre-Forward,"5,000,000",Lecce,"Serie A, Italy",Top,Italy,First Tier,AC Milan,"Serie A, Italy",Top,Italy,First Tier,"Jun 30, 2023",0,1495
Lorenzo Colombo,Inside,Start,21,Italy,Centre-Forward,"5,000,000",AC Milan,"Serie A, Italy",Top,Italy,First Tier,Monza,"Serie A, Italy",Top,Italy,First Tier,,0,1496
Lorenzo Lucca,In,Start,22,Italy,Centre-Forward,"5,000,000",Pisa,"Serie B, Italy",Europe,Italy,Second Tier,Udinese Calcio,"Serie A, Italy",Top,Italy,First Tier,,800000,1497
Lorenzo Lucchesi,In,No,20,Italy,Centre-Back,"150,000",Fiorentina U19,"Primavera 1, Italy",Europe,Italy,Youth League,Fiorentina,"Serie A, Italy",Top,Italy,First Tier,,0,1499
Lorenzo Lucchesi,Out,Start,20,Italy,Centre-Back,"150,000",Fiorentina,"Serie A, Italy",Top,Italy,First Tier,Ternana,"Serie B, Italy",Europe,Italy,Second Tier,,0,1498
Lorenzo Palmisani,In,No,19,Italy,Goalkeeper,"200,000",Frosinone U19,"Primavera 1, Italy",Europe,Italy,Youth League,Frosinone,"Serie A, Italy",Top,Italy,First Tier,,0,1501
Lorenzo Palmisani,Out,Start,19,Italy,Goalkeeper,"200,000",Frosinone,"Serie A, Italy",Top,Italy,First Tier,Olbia,"Serie C - Girone B, Italy",Europe,Italy,Third Tier,,0,1500
Lorenzo Peschetola,Out,No,20,Italy,Attacking Midfield,"200,000",Inter,"Serie A, Italy",Top,Italy,First Tier,Monopoli,"Serie C - Girone C, Italy",Europe,Italy,Third Tier,,0,1502
Lorenzo Pirola,Inside,End,21,Italy,Centre-Back,"8,000,000",Salernitana,"Serie A, Italy",Top,Italy,First Tier,Inter,"Serie A, Italy",Top,Italy,First Tier,"Jun 30, 2023",0,1503
Lorenzo Pirola,Inside,No,21,Italy,Centre-Back,"8,000,000",Inter,"Serie A, Italy",Top,Italy,First Tier,Salernitana,"Serie A, Italy",Top,Italy,First Tier,,5000000,1504
Lorenzo Russo,In,No,18,Italy,Attacking Midfield,"100,000",Napoli U19,"Primavera 2 - B, Italy",Europe,Italy,Youth League,SSC Napoli,"Serie A, Italy",Top,Italy,First Tier,,0,1505
Lorenzo Sgarbi,Out,Start,22,Italy,Centre-Forward,"150,000",SSC Napoli,"Serie A, Italy",Top,Italy,First Tier,Avellino,"Serie C - Girone C, Italy",Europe,Italy,Third Tier,,0,1506
Lorenzo Venuti,Inside,No,28,Italy,Right-Back,"2,000,000",Fiorentina,"Serie A, Italy",Top,Italy,First Tier,Lecce,"Serie A, Italy",Top,Italy,First Tier,,0,1507
Loris Mouyokolo,In,End,22,France,Centre-Back,"500,000",Rodez AF,"Ligue 2, France",Europe,France,Second Tier,FC Lorient,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,1508
Louie Moulden,In,End,22,England,Goalkeeper,"200,000",Rochdale,"National League, England",Europe,England,Fifth Tier,Wolves,"Premier League, England",Top,England,First Tier,"May 31, 2024",0,1509
Louie Moulden,Out,Start,21,England,Goalkeeper,"200,000",Wolves,"Premier League, England",Top,England,First Tier,Rochdale,"National League, England",Europe,England,Fifth Tier,,0,1510
Louie Watson,In,End,22,Ireland,Central Midfield,"250,000",Charlton,"League One, England",Europe,England,Third Tier,Luton,"Premier League, England",Top,England,First Tier,"May 31, 2024",0,1511
Louie Watson,Out,Start,22,Ireland,Central Midfield,"250,000",Luton,"Premier League, England",Top,England,First Tier,Charlton,"League One, England",Europe,England,Third Tier,,0,1512
Loum Tchaouna,In,End,19,France,Right Winger,"2,400,000",Dijon,"Championnat National, France",Europe,France,Third Tier,Stade Rennais,"Ligue 1, France",Top,France,First Tier,"Jun 30, 2023",0,1513
Loum Tchaouna,Inside,No,19,France,Right Winger,"2,400,000",Stade Rennais,"Ligue 1, France",Top,France,First Tier,Salernitana,"Serie A, Italy",Top,Italy,First Tier,,3000000,1514
Lovro Majer,Inside,No,25,Croatia,Central Midfield,"20,000,000",Stade Rennais,"Ligue 1, France",Top,France,First Tier,VfL Wolfsburg,"Bundesliga, German",Top,Germany,First Tier,,25000000,1515
Luca Chierico,Out,Start,21,Italy,Defensive Midfield,"100,000",Genoa,"Serie A, Italy",Top,Italy,First Tier,AS Gubbio,"Serie C - Girone B, Italy",Europe,Italy,Third Tier,,0,1516
Luca D'Andrea,Out,Start,18,Italy,Right Winger,"2,500,000",Sassuolo,"Serie A, Italy",Top,Italy,First Tier,Catanzaro,"Serie B, Italy",Europe,Italy,Second Tier,,0,1517
